event_base_id,event_name,currency,impact,max_mover_score,best_pair,best_horizon_label,best_horizon_minutes,best_corr,best_slope_pct_per_1sd_surprise,best_n_events,avg_mover_score,median_abs_corr,stats_rows,rank,filtered_rank
64,Unemployment Rate,AUD,high,0.17142808559360542,USD/CAD,12h,720,0.47120185119439406,0.08823695786176855,17,0.019007524896402367,0.15935957025373246,36,137,51
884,CPI y/y,USD,high,0.15575497312974437,USD/JPY,6h,360,0.3346195044365042,0.11636722535946772,16,0.019524269505722044,0.07198072552635833,36,147,52
175,Tokyo Core CPI y/y,JPY,medium,0.14856724888356435,EUR/USD,12h,720,-0.42576556657744524,-0.08723535940085263,16,0.024691202887162478,0.20361314604828779,36,149,53
180,Average Earnings Index 3m/y,GBP,medium,0.14082427647860957,GBP/USD,1h,60,0.41921892014623535,0.08147271574506881,17,0.03031765810468462,0.16962324093403525,36,153,54
169,German Prelim CPI m/m,EUR,medium,0.1372815814513912,USD/JPY,12h,720,0.3024414742055142,0.13685938516833238,11,0.03112118299884893,0.24686091739151078,36,154,55
316,German ifo Business Climate,EUR,medium,0.13680449452752313,GBP/USD,6h,360,0.4196153821389042,0.0871334575969479,14,0.03099347596403705,0.21790171321209997,36,155,56
159,Average Hourly Earnings m/m,USD,high,0.13646785489755858,EUR/USD,1m,1,-0.3051727586085494,-0.05821817613737858,59,0.039756760088066896,0.11147927056758584,36,156,57
659,Median CPI y/y,CAD,high,0.1281251036153343,USD/JPY,12h,720,-0.3295804487811113,-0.09428624241248067,17,0.02572743838171401,0.14665619793575158,36,163,58
252,ISM Manufacturing PMI,USD,high,0.12191264137887098,USD/CAD,12h,720,-0.25096929933372003,-0.11449641537859195,18,0.02713626095456352,0.14397332825835527,36,169,59
477,New Loans,CNY,medium,0.11567220094991482,EUR/USD,2h,120,-0.42654782555676346,-0.07828357379271474,12,0.018074829338046647,0.15468724886669666,36,172,60
266,German Flash Manufacturing PMI,EUR,high,0.10565193296444256,GBP/USD,2h,120,0.3446967856430634,0.07433883536228295,17,0.014142125780032128,0.14653392373324312,36,187,61
232,Existing Home Sales,USD,medium,0.10556924938922728,USD/CAD,4h,240,-0.40278499876585017,-0.07269297954365553,13,0.021137216960664954,0.11974375979025789,36,188,62
578,JOLTS Job Openings,USD,high,0.10245819096203955,USD/JPY,12h,720,0.28744864431882766,0.0920324088311189,15,0.027339227407639936,0.16419152813520532,36,191,63
350,Core Durable Goods Orders m/m,USD,medium,0.09014832790610842,USD/CAD,4h,240,-0.30273822879989193,-0.07444412311543243,16,0.018239049154430222,0.09593868557332391,36,201,64
552,Flash Manufacturing PMI,USD,high,0.08161009214131862,EUR/USD,4h,240,-0.25551644891693526,-0.07984817854901476,16,0.023062554383222675,0.15858089320217977,36,203,65
888,CPI y/y,AUD,high,0.07427164504534726,EUR/USD,1h,60,-0.5837413691177655,-0.030858734375421432,17,0.01744394699125626,0.17560998190948535,36,206,66
454,CPI y/y,CNY,medium,0.06300694828084803,USD/JPY,2h,120,0.3690633829755223,0.042680303158811946,16,0.012528840678291726,0.16573526890482354,36,212,67
255,ISM Manufacturing Prices,USD,medium,0.05544867329106844,EUR/USD,6h,360,-0.22433022856079582,-0.05670567964393623,19,0.012666820740749186,0.11251594919367716,36,215,68
100,CPI m/m,CHF,high,0.05425993399991684,EUR/USD,2h,120,0.2569807733901305,0.04976710484591872,18,0.00867303587469221,0.0958370042636697,36,217,69
