pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
EUR/USD,1h,60,65.0,90.0,25.0,-0.1119920845152566,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,115.0,50.0,-0.12649072028336417,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,140.0,75.0,-0.14098935605147173,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,165.0,100.0,-0.15548799181957929,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,1h,60,65.0,215.0,150.0,-0.18448526335579443,-0.0005799454307243027,-0.09749344874714903,59
EUR/USD,2h,120,65.0,-85.0,-150.0,-0.03037664089393033,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,-35.0,-100.0,-0.05237114841329955,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,-10.0,-75.0,-0.06336840217298416,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,15.0,-50.0,-0.07436565593266876,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,40.0,-25.0,-0.08536290969235338,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,65.0,0.0,-0.09636016345203799,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,90.0,25.0,-0.1073574172117226,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,115.0,50.0,-0.11835467097140721,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,140.0,75.0,-0.1293519247310918,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,165.0,100.0,-0.14034917849077644,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,2h,120,65.0,215.0,150.0,-0.16234368601014565,-0.0004398901503873844,-0.09636016345203799,59
EUR/USD,4h,240,65.0,-85.0,-150.0,-0.014227770265698547,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,-35.0,-100.0,-0.0418264961992359,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,-10.0,-75.0,-0.05562585916600458,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,15.0,-50.0,-0.06942522213277326,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,40.0,-25.0,-0.08322458509954193,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,65.0,0.0,-0.09702394806631061,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,90.0,25.0,-0.11082331103307928,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,115.0,50.0,-0.12462267399984796,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,140.0,75.0,-0.13842203696661665,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,165.0,100.0,-0.15222139993338532,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,4h,240,65.0,215.0,150.0,-0.17982012586692267,-0.0005519745186707471,-0.09702394806631061,59
EUR/USD,6h,360,65.0,-85.0,-150.0,-0.009786204671332024,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,-35.0,-100.0,-0.042926014163680165,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,-10.0,-75.0,-0.05949591890985422,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,15.0,-50.0,-0.07606582365602829,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,40.0,-25.0,-0.09263572840220236,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,65.0,0.0,-0.10920563314837642,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,90.0,25.0,-0.12577553789455048,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,115.0,50.0,-0.14234544264072455,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,140.0,75.0,-0.1589153473868986,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,165.0,100.0,-0.17548525213307267,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,6h,360,65.0,215.0,150.0,-0.20862506162542083,-0.0006627961898469626,-0.10920563314837642,59
EUR/USD,12h,720,65.0,-85.0,-150.0,-0.040487460469725414,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,-35.0,-100.0,-0.07118508782597777,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,-10.0,-75.0,-0.08653390150410395,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,15.0,-50.0,-0.10188271518223013,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,40.0,-25.0,-0.11723152886035632,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,65.0,0.0,-0.1325803425384825,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,90.0,25.0,-0.14792915621660868,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,115.0,50.0,-0.16327796989473486,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,140.0,75.0,-0.17862678357286105,-0.0006139525471250473,-0.1325803425384825,59
EUR/USD,12h,720,65.0,165.0,100.0,-0.19397559725098723,-0.0006139525471250473,-0.1325803425384825,59
