event_base_id,event_name,currency,impact,history_events,surprise_mean,surprise_std,surprise_median,surprise_abs_mean
46,Final GDP Price Index q/q,USD,medium,20,-0.010000000000000064,0.12096106376585991,0.0,0.07999999999999999
53,Prelim UoM Consumer Sentiment,USD,high,60,-0.8483333333333334,4.027132203604785,-0.8500000000000014,3.2083333333333335
54,Revised UoM Consumer Sentiment,USD,medium,59,0.0830508474576271,1.2440413207425167,0.19999999999998863,0.9440677966101689
56,Unemployment Rate,USD,high,59,-0.013559322033898301,0.14557570268875764,0.0,0.11864406779661024
57,Unemployment Rate,CAD,high,60,-0.06833333333333326,0.18272111440585492,-0.09999999999999964,0.14166666666666666
58,Unemployment Rate,GBP,low,59,-0.005084745762711824,0.1105218480718964,0.0,0.07288135593220336
59,Unemployment Rate,EUR,low,59,-0.015254237288135583,0.07614314858582753,0.0,0.05254237288135591
60,German Unemployment Change,EUR,low,59,-830.5084745762712,24084.730133407447,-3000.0,13847.457627118643
61,Italian Quarterly Unemployment Rate,EUR,low,20,-0.13000000000000003,0.22028689427533743,-0.10000000000000009,0.20000000000000004
62,Unemployment Rate,CHF,low,60,-0.0033333333333333435,0.06629841797500681,0.0,0.036666666666666674
63,Unemployment Rate,JPY,low,59,0.010169491525423738,0.10779116983577362,0.0,0.0847457627118644
64,Unemployment Rate,AUD,high,59,-0.04406779661016953,0.17446587102341235,0.0,0.12542372881355943
65,Unemployment Rate,NZD,high,20,-0.07500000000000004,0.17733405882980474,-0.04999999999999982,0.13500000000000006
66,Non-Farm Employment Change,USD,high,59,25576.271186440677,138785.7693427648,36000.0,96288.13559322034
67,Employment Change,CAD,high,60,11705.0,55818.24446589338,6650.0,42215.0
68,Claimant Count Change,GBP,high,59,174.57627118644066,33827.22629837534,2300.0,21476.271186440677
69,Final Employment Change q/q,EUR,low,20,0.014999999999999996,0.07451598203705945,0.0,0.045
70,French Prelim Private Payrolls q/q,EUR,low,20,-0.015000000000000003,0.21343062474478064,-0.04999999999999999,0.15500000000000003
71,French Final Private Payrolls q/q,EUR,low,20,0.06999999999999999,0.1260743306232687,0.09999999999999998,0.12000000000000002
73,Employment Change,AUD,high,59,6989.830508474576,44573.40979009352,9400.0,34457.627118644064
74,Employment Change q/q,NZD,high,20,0.11000000000000001,0.4930036831291907,0.0,0.33
75,ADP Non-Farm Employment Change,USD,high,57,-7438.596491228071,131974.97294452944,-9000.0,84315.78947368421
77,German Final GDP q/q,EUR,low,19,1.460819769243627e-18,0.15275252316519466,0.0,0.09473684210526316
78,CPI m/m,USD,high,57,0.017543859649122806,0.13379462809195916,0.0,0.09824561403508772
79,Core CPI m/m,USD,high,57,0.008771929824561401,0.1353312097812331,0.0,0.09649122807017542
80,CPI m/m,CAD,high,59,0.016949152542372874,0.19926809386358885,0.0,0.14915254237288134
82,CPI y/y,GBP,high,59,0.05423728813559316,0.20788096220599755,0.09999999999999964,0.17288135593220336
83,Core CPI y/y,GBP,low,59,0.04576271186440677,0.23068267045378893,0.09999999999999964,0.18135593220338975
84,RPI y/y,GBP,low,59,0.06779661016949148,0.2224012202010853,0.09999999999999964,0.17966101694915254
85,Core PCE Price Index m/m,USD,high,58,-0.005172413793103449,0.0686266630018766,0.0,0.0396551724137931
