event_base_id,event_name,currency,impact,pair,horizon_label,horizon_minutes,n_events,slope_pct_per_unit_surprise,intercept_pct,surprise_std,slope_pct_per_1sd_surprise,corr,r2,rmse_pct,mean_return_pct,std_return_pct,mean_abs_return_pct,mover_score
287,Mortgage Approvals,GBP,low,EUR/USD,5m,5,18,1.0799965134303577e-06,0.01417307288734109,2357.715743980127,0.0025463247831583992,0.1332426993902441,0.017753616940798956,0.01840639771264336,0.014353072306246158,0.01911042627334249,0.020016400555365965,0.001439439685741587
75,ADP Non-Farm Employment Change,USD,high,GBP/USD,1h,60,16,-1.6811157725470198e-07,-0.09401667991704409,48293.54684289265,-0.008118704330982517,-0.044315568293915225,0.0019638695932126644,0.17721038638734612,-0.09015011364018592,0.18320208097381588,0.14275215260670165,0.0014391399849510442
223,Italian Industrial Production m/m,EUR,low,USD/JPY,2h,120,22,0.0051072044504707715,-0.01821639669698716,1.130490450206749,0.005773645858510614,0.0531363289938996,0.002823469458947935,0.10600904589031976,-0.01877354627340215,0.10865722129907508,0.08555324748005676,0.001438974273052496
547,Italian Manufacturing PMI,EUR,low,USD/JPY,1m,1,20,0.001945592108918133,-0.0012435281170805937,1.1131274103079785,0.00216569190571568,0.1485517195181737,0.022067613371806148,0.01405190507476905,-0.0009127774585645121,0.0145787064110741,0.010007427820979886,0.001438763310319286
10,Crude Oil Inventories,USD,low,USD/JPY,4h,240,62,1.6227743837126482e-09,0.02651040581353361,4986256.097293321,0.008091568665318604,0.022550897076332337,0.0005085429589473344,0.355817674586934,0.02801801556356341,0.358813604528881,0.1989917061663927,0.001436787005397262
175,Tokyo Core CPI y/y,JPY,medium,USD/CAD,1h,60,16,-0.017468265269699843,0.0013527620717223355,0.17017148213885103,-0.0029726005913394385,-0.12072000965986952,0.014573320732278992,0.0236676476202306,0.0018986453614004552,0.024623926055960272,0.017241487872508465,0.0014354094884057235
455,PPI y/y,CNY,medium,EUR/USD,6h,360,17,0.031124486636005363,0.04405756448198393,0.19345922202943774,0.006021318970667229,0.057792882770505205,0.0033400172989253574,0.1009081669456362,0.04295905318894849,0.10418789792123377,0.0679316059396743,0.0014347969760873677
617,French Final Manufacturing PMI,EUR,low,USD/JPY,5m,5,20,-0.01086317827748385,0.010156893136219283,0.29181825634603753,-0.0031700737433114886,-0.10111604836563594,0.010224455237081626,0.030400409821710075,0.009179207091245728,0.03135084681957205,0.02578074392028886,0.0014335222952824888
252,ISM Manufacturing PMI,USD,high,EUR/USD,12h,720,18,0.0077423463785026535,-0.11732290876484776,1.3307450367899842,0.010303089016301314,0.03276467819364163,0.0010735241371328953,0.30543339208216114,-0.11719386965853938,0.31445720160623336,0.2446085050977263,0.001432219595404349
376,M2 Money Stock y/y,JPY,low,USD/JPY,1m,1,17,0.006791447357645862,-0.0019317298841777459,0.28336216692963584,0.0019244392398510808,0.18020989693163827,0.03247560695211169,0.010190419384207665,-0.0013724342194304396,0.010678876535738258,0.007679762314861975,0.0014299053881787918
388,Bank Lending y/y,JPY,low,GBP/USD,2h,120,17,0.02159233559609297,-0.03325076998673679,0.2648529003494759,0.0057187927079444525,0.06056376281284272,0.0036679693660502705,0.09143849759775252,-0.030075426516723125,0.09442598085619243,0.07642641261342333,0.0014280442515934605
260,RICS House Price Balance,GBP,low,USD/CAD,1h,60,17,0.0007556654307668656,0.006142383127564484,4.873397172404482,0.0036826577735830576,0.09398296832212703,0.008832798334637933,0.03784610557230492,0.004631052266030754,0.03918431008649073,0.0245447007448954,0.001427036167672452
618,German Final Manufacturing PMI,EUR,low,USD/JPY,5m,5,20,-0.00815855923813429,0.0035883762685306447,0.44674259632188773,-0.003644775936290035,-0.08753032479758735,0.007661557759171135,0.04043002460607635,0.002935691529479911,0.04164015093875786,0.027348120080700054,0.0014267384745369502
639,HPI y/y,GBP,low,USD/JPY,5m,5,17,-0.003496006117062276,-0.005978760483144232,0.8422222006656661,-0.0029444139654528204,-0.11688856801076289,0.013662937331606742,0.024270294024467023,-0.006307796352985385,0.02518992246685494,0.0173787814839038,0.0014190423860458191
385,Index of Services 3m/3m,GBP,low,USD/JPY,15m,15,18,0.04129943211902521,0.0024589816310778036,0.12485285456935956,0.005156351992153791,0.06482678767229223,0.00420251239990846,0.077136827964767,0.0031473054997282223,0.07954045198444545,0.055702427911360854,0.0014181863814035542
290,Housing Equity Withdrawal q/q,GBP,low,USD/JPY,1m,1,10,-3.140228213725116e-13,-0.0005775944217970246,5921720845.985377,-0.0018595554874367443,-0.24096500636243337,0.05806413429124756,0.0071053763438329335,0.0002482855984126808,0.00771711841278647,0.0054800209177435,0.0014169780392959991
342,Public Sector Net Borrowing,GBP,low,EUR/USD,5m,5,17,1.0295680681917507e-12,0.004725168991818687,3275813774.0648417,0.0033726732591198676,0.10188026499942143,0.010379588396352335,0.03194876362022706,0.005990932087419131,0.03310428431982404,0.025028959600017033,0.0014167355634625645
470,Retail Sales y/y,CNY,medium,USD/CAD,30m,30,10,-0.0031068780517787414,-0.010635232798769172,1.1147994338793763,-0.0034635458932552004,-0.12884253129334017,0.01660039787007534,0.025289949775236232,-0.010169201091002361,0.026882007505500106,0.021977778893477656,0.00141117279408631
232,Existing Home Sales,USD,medium,USD/CAD,1m,1,13,-2.0436426666117217e-08,-0.007958939382796746,114684.62888532247,-0.002343744007945761,-0.16694155260510796,0.027869481986204026,0.013299244241149113,-0.008320506931504974,0.01403930879623344,0.008541718784372702,0.0014107377868549163
116,BRC Shop Price Index y/y,GBP,low,GBP/USD,15m,15,13,0.008002513353737386,-0.00489409800242618,0.3745082245510908,0.0029970070680545836,0.13043673034340436,0.017013740622677985,0.021886712532701243,-0.004709424617339932,0.02297671108562964,0.018174772064056634,0.0014094813934927273
255,ISM Manufacturing Prices,USD,medium,GBP/USD,2h,120,19,0.002324388817087775,-0.05416059108035487,3.9146224601930593,0.009099104669593381,0.035474344931703025,0.0012584291483334442,0.2494998517521,-0.05107771749137528,0.2564981731758928,0.20960202453918342,0.0014069862261537089
93,PPI Output m/m,GBP,low,USD/JPY,30m,30,10,0.021401552681611112,-0.013150059511868484,0.28460498941515416,0.0060909886744177945,0.0730223977956919,0.00533227057983227,0.07892088945783882,-0.0155042303068457,0.08341260843638229,0.06840189079966613,0.0014065134240258573
595,Flash Manufacturing PMI,JPY,low,EUR/USD,1m,1,17,0.0015337496330441302,-0.004136870260688928,1.3100011225859587,0.0020092137410536127,0.16974973122506717,0.028814971250982545,0.011316276866183667,-0.003848164447410036,0.011836329439542059,0.008459894885964419,0.0014062408046919689
154,Final Wholesale Inventories m/m,USD,low,USD/JPY,12h,720,22,0.03822843281174377,0.1140337011875894,0.2850153789425515,0.01089569126421902,0.02749823471092446,0.0007561529122170909,0.386975992273551,0.11455499799865866,0.3962323901428612,0.26299193634674434,0.0014053061398795789
112,Core Retail Sales m/m,USD,high,GBP/USD,1m,1,17,-0.012795960086981386,-0.03132552649076878,0.2953064211170173,-0.0037787291780426707,-0.09007390435241022,0.008113308245287144,0.04053342863031252,-0.030949174723504624,0.04195143094118089,0.03874137934170672,0.0014033603950169753
372,TIC Long-Term Purchases,USD,low,USD/CAD,15m,15,15,-2.8640230598620637e-14,-0.007674047975255388,115164752792.3118,-0.00329834507680495,-0.10979263603618564,0.012054422927774328,0.02884747308108808,-0.0075331380407101765,0.030041587449616155,0.026891559057683097,0.0014025389531845275
595,Flash Manufacturing PMI,JPY,low,EUR/USD,12h,720,17,-0.007156145359729694,-0.03790754001707191,1.3100011225859587,-0.009374558454634198,-0.0362439038079678,0.0013136205632412227,0.2507644374480704,-0.03925457914360919,0.25865200681206213,0.20026243433152832,0.0014009100511359264
26,Natural Gas Storage,USD,low,GBP/USD,1h,60,75,4.5165369299351517e-13,0.004235327188510657,10349513632.65117,0.004674396052873632,0.034557218171025306,0.0011942013277198415,0.1342803570659965,0.0048315100632620985,0.1352654033012676,0.10827202333944524,0.0013989265514993564
255,ISM Manufacturing Prices,USD,medium,EUR/USD,4h,240,19,0.0022341456706608666,-0.1709733561177598,3.9146224601930593,0.008745836821712113,0.036660870125739375,0.0013440193983763299,0.23204168328016367,-0.168010173438778,0.23856053584423112,0.23884824049341694,0.0013975937153578102
642,Prelim Wholesale Inventories m/m,USD,low,USD/CAD,1m,1,12,0.007063988988698933,0.00492295005450777,0.497874269147129,0.003516978355011848,0.11466043409534753,0.013147015146933535,0.029173468262553213,0.004452017455261174,0.03067299005764493,0.017039050918223903,0.001396927606721711
324,Economy Watchers Sentiment,JPY,low,USD/CAD,15m,15,22,0.0015491707365338715,0.008515710019374623,1.7208738845153426,0.002665927463156538,0.11152743485663151,0.012438368725700186,0.023208497540407297,0.007748166336273748,0.023903781760815958,0.01950080767410545,0.0013945734168349174
80,CPI m/m,CAD,high,USD/CAD,1m,1,17,-0.018105803261552405,-0.02465280402276785,0.20881317289977322,-0.00378073022694382,-0.0892592564573489,0.007967214863318781,0.040928041948686836,-0.02486581347290376,0.042356730013210275,0.0345203014249427,0.0013914045364357317
217,Current Account,JPY,low,USD/JPY,30m,30,17,-9.663039582346592e-15,0.028920681427915807,618840234062.167,-0.005979877676891349,-0.05641342564985502,0.00318247459355172,0.10267227630289785,0.02839774046228295,0.1060009671103304,0.08801712679306603,0.0013909106535174038
592,Spanish Flash CPI y/y,EUR,medium,USD/CAD,5m,5,11,-0.011357860214154344,-0.008187715934650569,0.22074254852038105,-0.0025071630094106708,-0.1672257149663883,0.027964439746019743,0.014093674730954955,-0.008703982308021217,0.014992688235266923,0.013561569928708855,0.0013905351633555136
86,PPI m/m,USD,high,GBP/USD,5m,5,16,0.011629540289847825,-0.04854884171057176,0.39072582032246944,0.004543961669724,0.07644791353679199,0.005844283484128824,0.057382817408647556,-0.04942105723231034,0.05943866169136368,0.05541086864147598,0.0013895055553662294
57,Unemployment Rate,CAD,high,EUR/USD,1h,60,45,-0.04542879320746846,-0.08575829845428454,0.16853498273070902,-0.007656340878697649,-0.027051029437925072,0.0007317581936514888,0.27976835414812945,-0.08313352373563081,0.2830332537350164,0.21881533882897578,0.0013893488787940394
382,Tertiary Industry Activity m/m,JPY,low,USD/CAD,30m,30,17,0.007643494365700677,-0.0007243354188619667,0.37836723524359556,0.0028920478307501653,0.1163129081832037,0.013528692610034374,0.023958262354636058,-0.00013983290854368,0.02486437555318384,0.01909733200113811,0.001386940552543923
354,Core Machinery Orders m/m,JPY,low,USD/JPY,1m,1,17,-0.00028422476841556243,0.0008585769768604986,6.296614403088097,-0.0017896537705198092,-0.18766980791992702,0.0352199568047023,0.00908707885134788,-7.602093810596885e-05,0.00953618373864058,0.007039407451687186,0.0013848026627276374
458,Fixed Asset Investment ytd/y,CNY,low,USD/JPY,5m,5,15,0.0018251065481431033,0.007313540837563221,1.9207389451037056,0.0035055532259822496,0.10197574690946497,0.010399052957743253,0.033037571042364,0.007483884115389913,0.03437634273073298,0.02507294183042108,0.0013845195418945631
884,CPI y/y,USD,high,USD/CAD,15m,15,16,-0.04765363704148046,-0.07569051811376905,0.11474609652039004,-0.0054680688355093505,-0.06317076664160998,0.0039905457580887435,0.08364407719870919,-0.07271216579867651,0.0865601151642125,0.09204461600521141,0.0013816884015528848
157,Labor Productivity q/q,CAD,low,EUR/USD,12h,720,11,0.02760419728287603,-0.0090205414676786,0.4653444472059966,0.012845459925165219,0.03227227934410758,0.0010415000140641126,0.3793127134392753,-0.016298011660436842,0.39803386021169285,0.2605153579118149,0.0013749143389248256
313,German ZEW Economic Sentiment,EUR,medium,USD/JPY,2h,120,11,0.00047290561562534923,-0.0019625170569562093,11.197597144842362,0.00529540657130633,0.07822412781196189,0.00611901417194215,0.06434716669070338,-0.0009565178382622836,0.06769530986699683,0.05395835243882578,0.0013738407124622618
125,German Trade Balance,EUR,low,USD/JPY,15m,15,27,1.5187163676071693e-12,-0.0034592314615940526,3012599373.5900207,0.00457528397771427,0.057646160206119894,0.003323079786509641,0.07775523946904704,-0.0037573498596799085,0.07936840825746,0.05576269935977257,0.0013704724873758636
290,Housing Equity Withdrawal q/q,GBP,low,EUR/USD,1m,1,10,-4.787332083005148e-13,-0.004663714402262827,5921720845.985377,-0.0028349244192586182,-0.15244461265264092,0.023239359926813728,0.017435914624676977,-0.0034046460644324727,0.018596422464060795,0.013489029959554014,0.0013666382317939207
202,Building Approvals m/m,AUD,low,GBP/USD,5m,5,17,0.00028971283243643046,-0.010535400277980856,9.348391651540293,0.0027083490240928185,0.12237471972106269,0.014975572026808649,0.021309435834028688,-0.010429740303798155,0.02213160553312111,0.014072014009487899,0.0013665351334696584
458,Fixed Asset Investment ytd/y,CNY,low,USD/CAD,6h,360,15,0.003114969569884541,-0.03425357550845018,1.9207389451037056,0.0059830433656901764,0.05897238807196795,0.003477742554910788,0.09784425386585548,-0.03396284501526095,0.10145499548684833,0.07946263258276967,0.001366521581709372
619,French Final Services PMI,EUR,low,GBP/USD,1m,1,22,0.0032983656377234007,0.0017169663003103956,0.6863700868364643,0.0022638995091826203,0.12861419988515183,0.016541612412097787,0.017054717353801367,0.002571542851902367,0.01760225162699147,0.012013630248777728,0.001365706593162901
324,Economy Watchers Sentiment,JPY,low,EUR/USD,15m,15,22,-0.0018685533659625355,-0.00955701578814712,1.7208738845153426,-0.003215544689308167,-0.09053200447235991,0.008196043833783395,0.03455919666270993,-0.008631232529556596,0.03551831982566893,0.027927264436446345,0.001365425553767655
100,CPI m/m,CHF,high,USD/CAD,1h,60,18,0.04229773701478534,-0.018273024828877535,0.10921586228732252,0.00461958382087218,0.06965752237875145,0.004852170423946259,0.06429346569159242,-0.019917936823896944,0.06631852042847482,0.04905869327225351,0.0013652341001861852
828,Wards Total Vehicle Sales,USD,low,EUR/USD,30m,30,21,-1.5587736684782425e-08,0.02115950967698838,474241.2486327624,-0.007392347708749933,-0.040193389714784616,0.0016155085767645537,0.1793420029736687,0.01997187259624305,0.18391948927937143,0.10454912185188943,0.001361590986163674
171,French Final CPI m/m,EUR,low,USD/CAD,1m,1,17,0.015915828013035187,0.0003737144830374482,0.09034248560828041,0.0014378754632114977,0.22953025666655252,0.05268413872541348,0.005915129614462261,0.0007482045539323939,0.006264426677744514,0.004774331091401756,0.0013607729754176617
231,New Home Sales,USD,medium,EUR/USD,5m,5,14,7.392807155024338e-08,0.0031563990741202354,63744.38135119168,0.004712499185456898,0.07713955471026643,0.005950510900898188,0.05869293428676987,0.0036369315391968225,0.061090567649202565,0.047673234727338996,0.0013601676252696449
172,Italian Prelim CPI m/m,EUR,low,EUR/USD,1m,1,19,-0.008191402660292162,-0.0031585120817368426,0.2445905995812365,-0.0020035400880921957,-0.15549245179139348,0.024177902564098828,0.012388921503922271,-0.0037620891198636357,0.012885127638093439,0.00998107292665947,0.001357951154019675
273,Manufacturing PMI,CHF,low,EUR/USD,5m,5,22,-0.0009679388757188418,0.0029903418051432894,2.8206105998248248,-0.002730178652835089,-0.10591109747312968,0.011217160567962776,0.025043692665168298,0.0028759490289219734,0.02577802249219212,0.020296925125032908,0.0013562628792352356
167,Final Core CPI y/y,EUR,low,USD/JPY,15m,15,17,0.13908165503755113,0.0007786710851545453,0.02425356250363332,0.0033732256135620142,0.09742107229769496,0.009490865327632709,0.03343160731992601,0.0015967984677283781,0.03462521540775349,0.02731503728693036,0.0013549483970696353
382,Tertiary Industry Activity m/m,JPY,low,GBP/USD,30m,30,17,-0.00700638835377431,0.01599619418882701,0.37836723524359556,-0.0026509877904605126,-0.12392437116777884,0.015357249769329414,0.02059329676899294,0.015460411550008976,0.02139198097581134,0.0197523097489333,0.0013545308853372133
26,Natural Gas Storage,USD,low,USD/CAD,1m,1,75,1.4783474193316488e-13,-0.0006044567819567473,10349513632.65117,0.0015300176770167576,0.10210049130432633,0.010424510324584817,0.014807382997212288,-0.0004093149226049699,0.014985409545741606,0.009894032836734613,0.001352866404193252
122,Goods Trade Balance,AUD,low,GBP/USD,5m,5,18,-1.1473422274358535e-12,-0.0007998559056967403,2618609432.4043674,-0.003004441178959363,-0.1061015129683982,0.011257531054183173,0.027363517971740494,-3.432367505759294e-05,0.02831666669875122,0.019210760110197674,0.0013524509870089095
